map,band,S_data,S_null_med,ratio,p_lower
PR3_Commander,S2_4,39.67178834527284,391.3361551439457,0.10137521878263538,0.001
PR3_Commander,S5_8,99.72580340171903,189.88697251677524,0.5251850723614487,0.019
PR3_Commander,S9_16,73.8272172904252,97.82535123705956,0.7546838969330165,0.074
PR3_Commander,S17_32,9.683557331749668,12.530996414367419,0.7727683427190979,0.038
PR3_Commander,S33_64,0.024479409763312625,0.02567238252057232,0.9535308903915047,0.351
PR3_NILC,S2_4,43.62813348623849,391.3361551439457,0.11148505680542269,0.001
PR3_NILC,S5_8,108.82821570585791,189.88697251677524,0.5731210217501554,0.038
PR3_NILC,S9_16,74.4515387335082,97.82535123705956,0.7610658974593432,0.079
PR3_NILC,S17_32,9.732727686249035,12.530996414367419,0.7766922409370394,0.041
PR3_NILC,S33_64,0.023515271939991388,0.02567238252057232,0.9159754425265224,0.224
PR3_SEVEM,S2_4,35.53177282197311,391.3361551439457,0.0907960390444972,0.001
PR3_SEVEM,S5_8,94.92839845257801,189.88697251677524,0.49992054322837615,0.017
PR3_SEVEM,S9_16,77.65401764228227,97.82535123705956,0.7938025947292924,0.11
PR3_SEVEM,S17_32,10.280237602135514,12.530996414367419,0.8203846894688043,0.09
PR3_SEVEM,S33_64,0.02925359451360259,0.02567238252057232,1.1394966746915873,0.846
PR3_SMICA,S2_4,43.52361814595497,391.3361551439457,0.11121798375605142,0.001
PR3_SMICA,S5_8,108.72783539491472,189.88697251677524,0.5725923898508063,0.037
PR3_SMICA,S9_16,74.23099332009267,97.82535123705956,0.7588114162780685,0.078
PR3_SMICA,S17_32,9.607594253482437,12.530996414367419,0.7667063285140555,0.036
PR3_SMICA,S33_64,0.023805060466712533,0.02567238252057232,0.927263390830071,0.259
Nofi_70GHz,S2_4,42.49647113501039,391.3361551439457,0.10859326585701967,0.001
Nofi_70GHz,S5_8,103.4476634981754,189.88697251677524,0.5447854696247606,0.023
Nofi_70GHz,S9_16,70.55349981407024,97.82535123705956,0.7212189777177327,0.041
Nofi_70GHz,S17_32,9.417754724059783,12.530996414367419,0.7515567328119137,0.025
Nofi_70GHz,S33_64,0.023592825734244358,0.02567238252057232,0.9189963461840159,0.231
Nofi_94GHz,S2_4,39.92750307311062,391.3361551439457,0.10202865886088147,0.001
Nofi_94GHz,S5_8,97.12780573486639,189.88697251677524,0.5115032613745305,0.018
Nofi_94GHz,S9_16,72.68537376449086,97.82535123705956,0.7430116308844407,0.06
Nofi_94GHz,S17_32,9.580916561551685,12.530996414367419,0.764577392310693,0.035
Nofi_94GHz,S33_64,0.02387807024926111,0.02567238252057232,0.9301072944876326,0.268
Nofi_100GHz,S2_4,39.99037915163358,391.3361551439457,0.10218932911252186,0.001
Nofi_100GHz,S5_8,101.82341383758153,189.88697251677524,0.5362316987205961,0.022
Nofi_100GHz,S9_16,72.03613268960181,97.82535123705956,0.7363748944283073,0.054
Nofi_100GHz,S17_32,9.452869067455378,12.530996414367419,0.7543589316342942,0.028
Nofi_100GHz,S33_64,0.023598472828366416,0.02567238252057232,0.9192163138522887,0.231
Nofi_143GHz,S2_4,38.454711642027405,391.3361551439457,0.09826516445402944,0.001
Nofi_143GHz,S5_8,99.91639446003003,189.88697251677524,0.5261887802819284,0.02
Nofi_143GHz,S9_16,72.0678364484452,97.82535123705956,0.7366989797338286,0.054
Nofi_143GHz,S17_32,9.35890211863283,12.530996414367419,0.7468601705050667,0.022
Nofi_143GHz,S33_64,0.023510844689855846,0.02567238252057232,0.915802990665773,0.224
PR4_Sevem,S2_4,35.146200437126296,391.3361551439457,0.08981076748249449,0.001
PR4_Sevem,S5_8,95.98381309591895,189.88697251677524,0.5054786635636072,0.018
PR4_Sevem,S9_16,78.91116032930192,97.82535123705956,0.80665348328857,0.128
PR4_Sevem,S17_32,10.57402480436917,12.530996414367419,0.8438295291702037,0.123
PR4_Sevem,S33_64,0.030734006947344024,0.02567238252057232,1.1971622393330896,0.917
PR4_Commander,S2_4,39.94272433049464,391.3361551439457,0.102067554468108,0.001
PR4_Commander,S5_8,94.00953012456958,189.88697251677524,0.49508151548555795,0.016
PR4_Commander,S9_16,74.88896515269752,97.82535123705956,0.7655374011509507,0.085
PR4_Commander,S17_32,9.888742924559256,12.530996414367419,0.7891425867157151,0.05
PR4_Commander,S33_64,0.025565182578809333,0.02567238252057232,0.9958243088004364,0.486
